en,es,fr
oo,oo,oo
fn,fn,fn
is,es,est
to,a,à
pop,estallido,pop
get,consiguir,obtenir
sub,sus,sous
the,(la|el),le
map,mapa,carte
and,y,et
init,inicio,init
peek,ojeada,regarder
push,empujar,pousser
find,encontrar,trouver
memo,memo,mémo
make,hacer,faire
list,lista,liste
head,cabeza,tête
tail,cola,queue
skip,saltar,sauter
take,llevar,prendre
each,cada,(chacune|chacun)
last,(última|último),(dernière|dernier)
into,en,dans
ëval,ëval,ëval
bubls,bubls,bubls
count,contar,compter
value,valor,valeur
array,formación,tableau
until,hasta,jusqu'à
which,cual,lequel
split,dividir,diviser
result,resultados,résultat
reduce,reducir,réduire
events,eventos,événements
invert,invertir,inverser
include,incluir,inclure
binding,vinculante,liaison
includes,incluye,comprend
prototype,prototipo,prototype
partition,repartirPara,partition
accumulator,acumulador,accumulateur
memorandum,memorándum,mémo
1,1,1
Bubblescript,Bubblescript,Bubblescript
evaluate,evaular,évaluer
evaluates,evalúa
List,Lista,Liste
my,mi,mon
need,necesitar,besoin
we,(nosotras|nosotros),nous
we,nosotras,nous
__callstack,__pilaDeLlamadas,__pilad'appels
an,un,(une|un)
an,un,une
and,y,et
binding,vinculación,liant
both,(ambas|ambos),lesDeux
both,ambas,lesDeux
bubls,bubls,bubls
clean,(limpia|limpio),propre
clean,limpia,propre
conj,unir,conj
conjoin,unir,conjoindre
console,consola,console
const,const,const
constant,constante,constan
correct,(correcta|correcto),correct
correct,correcta,correct
count,contar,compter
current,actual,actuel
different,diferente,(différente|différent)
different,diferente,différente
else,else,sinon
eval,eval,éval
evalEach,evalúaCudaUno,évaluezChacun
evalExpression,evaluarExpresión, évaluerL'expression
evalParams,parámetrosDeEvaluación,évaluerLesParamètres
events,eventos,événements
exports,exportaciones,exportations
expression,expresíon,expression
first,(primera|primero),(première|premier)
first,primera,première
fn,fn,fn
for,para,pour
function,funcíon,fonction
have,tener,avoir
here,aquí,lci
if,si,si
include,incluir,inclure
init,iniciar
initialize,inicializar
is,es
it,eso
let,deja
list,lista
make,hacer
mapEval,evaluaciónDelMapa
module,módulo
next,siguiente
not,no
on,en
opts,opciones
parameter,parámetro
params,parámetros
parse,analizar
pass,pasa
peek,espiar
callStackPushEval,pilaDeLlamadasEmpujarEval
pop,revienta
prove,probar
push,empujar
require,requerir
result,resultado,
return,regresar
rootBinding,vinculaciónRaíz
sAmp,sAmp
script,guion
second,(segunda|segundo)
second,segunda
split,dividir
splits,divisiones
suite,suite
suspicion,sospecha
symbol,símbolo
test,prueba
that,eso
the,(la|el)
the,la
then,entonces
this,esto
to,a
up,arriba
version,versión
versions,versiones
binding,vínculo,
with,con
ëval,ëval
ėval,ėval
Ṣymbol,Ṣímbolo
log,registro,
