en,es
oo,oo
fn,fn
is,es
to,a
pop,estallido
get,consiguir
sub,sus
the,la # [the,el
map,mapa
and,y
init,inicio
peek,ojeada
push,empujar
find,encontrar
memo,memo
make,hacer
list,lista
head,cabeza
tail,cola
skip,saltar
take,llevar
each,cada
last,última # [last,último
[into,en
ëval,ëval
bubls,bubls
count,contar
value,valor
array,formación
until,hasta
which,cual
split,dividir
result,resultados
reduce,reducir
events,eventos
invert,invertir
include,incluir
binding,vinculante
include,incluir
includes,incluye
prototype,prototipo
partition,repartirPara
accumulator,acumulador
memorandum,memorándum

